folio,zip,addr,muni,dorCode,dorDesc,cls,homestead,taxable,assessedVal,justVal,exemption,rollYear,valid
0142200000012,33149,,Miami,8040,VACANT GOVERNMENTAL : MUNICIPAL,Government,0,0,146808,146808,146808,2026,true
0142210000010,33149,4000 VIRGINIA BEACH DR,Miami,8940,MUNICIPAL : MUNICIPAL,Government,0,0,2157773,2157773,2157773,2026,true
2442320010010,33149,6702 CRANDON BLVD,Key Biscayne,8647,COUNTY : DADE COUNTY,Government,0,0,4908635,4908635,4908635,2026,true
2442320010050,33149,530 CRANDON BLVD,Key Biscayne,8066,VACANT GOVERNMENTAL : EXTRA FEA OTHER THAN PARKING,Government,0,0,1236277,1236277,1236277,2026,true
2442320010060,33149,560 CRANDON BLVD,Key Biscayne,8940,MUNICIPAL : MUNICIPAL,Government,0,0,11385520,11385520,11385520,2026,true
2442320010061,33149,88 W MCINTYRE ST,Key Biscayne,8940,MUNICIPAL : MUNICIPAL,Government,0,0,8426142,8426142,8426142,2026,true
2442320020010,33149,38 CRANDON BLVD,Key Biscayne,2626,SERVICE STATION : SERVICE STATION - AUTOMOTIVE,Commercial,0,2588709,2588709,2588709,0,2026,true
2442320020020,33149,12 CRANDON BLVD,Key Biscayne,1081,VACANT LAND - COMMERCIAL : VACANT LAND,Commercial,0,2520000,2520000,2520000,0,2026,true
2442320020021,33149,,Key Biscayne,2865,PARKING LOT/MOBILE HOME PARK : PARKING LOT,Commercial,0,3572064,3572064,3572064,0,2026,true
2442320020030,33149,24 CRANDON BLVD,Key Biscayne,1081,VACANT LAND - COMMERCIAL : VACANT LAND,Commercial,0,5098500,5098500,5098500,0,2026,true
2442320020040,33149,93 HARBOR DR,Key Biscayne,1111,STORE : RETAIL OUTLET,Commercial,0,11841225,11841225,12210050,0,2026,true
2442320020041,33149,70 CRANDON BLVD,Key Biscayne,2626,SERVICE STATION : SERVICE STATION - AUTOMOTIVE,Commercial,0,5179033,5179033,5198076,0,2026,true
2442320020042,33149,21 HARBOR DR,Key Biscayne,2111,RESTAURANT OR CAFETERIA : RETAIL OUTLET,Commercial,0,3000000,3000000,3000000,0,2026,true
2442320020043,33149,84 CRANDON BLVD,Key Biscayne,2313,FINANCIAL INSTITUTION : OFFICE BUILDING,Commercial,0,3036023,3036023,3036023,0,2026,true
2442320020044,33149,95 HARBOR DR,Key Biscayne,7144,RELIGIOUS - EXEMPT : RELIGIOUS,Institutional,0,0,11315337,11315337,11315337,2026,true
2442320020060,33149,1 CRANDON BLVD,Key Biscayne,7241,EDUCATIONAL/SCIENTIFIC - EX : EDUCATIONAL - PRIVATE,Institutional,0,0,8065374,8065374,8065374,2026,true
2442320020064,33149,150 OCEAN LANE DR,Key Biscayne,9018,LEASEHOLD INTEREST : CONDOMINIUM - COMMERCIAL,Other,0,19050,19050,19050,0,2026,true
2442320020070,33149,240 CRANDON BLVD,Key Biscayne,1913,PROFESSIONAL SERVICE BLDG : OFFICE BUILDING,Commercial,0,15300000,15300000,15300000,0,2026,true
2442320020080,33149,180 CRANDON BLVD,Key Biscayne,1111,STORE : RETAIL OUTLET,Commercial,0,9000000,9000000,9000000,0,2026,true
2442320020090,33149,200 CRANDON BLVD,Key Biscayne,1229,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,Commercial,0,14300000,14300000,15000000,0,2026,true
2442320020120,33149,235 CRANDON BLVD,Key Biscayne,9751,PVT PARK -REC AREA -ROADWAY : COMMON AREA,Other,0,0,0,0,0,2026,true
2442320020125,33149,299 CRANDON BLVD,Key Biscayne,8647,COUNTY : DADE COUNTY,Government,0,0,5660579,5660579,5660579,2026,true
2442320020131,33149,390 CRANDON BLVD,Key Biscayne,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,9180745,11282040,9180745,2026,true
2442320020132,33149,328 CRANDON BLVD,Key Biscayne,1611,COMMUNITY SHOPPING CENTER : RETAIL OUTLET,Commercial,0,30500000,30500000,30500000,0,2026,true
2442320020140,33149,390 CRANDON BLVD,Key Biscayne,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,347799,427420,347799,2026,true
2442320020160,33149,301 OCEAN DR,Key Biscayne,3922,HOTEL OR MOTEL : MOTEL,Commercial,0,152549200,152549200,152549200,0,2026,true
2442320020171,33149,390 CRANDON BLVD,Key Biscayne,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,7226874,8880970,7226874,2026,true
2442320020174,33149,390 CRANDON BLVD,Key Biscayne,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,5467873,6719370,5467873,2026,true
2442320020190,33149,355 GLENRIDGE RD,Key Biscayne,7144,RELIGIOUS - EXEMPT : RELIGIOUS,Institutional,0,0,7600775,7600775,7600775,2026,true
2442320020191,33149,,Key Biscayne,0081,VACANT RESIDENTIAL : VACANT LAND,Vacant Residential,0,36120,36120,36120,0,2026,true
2442320020200,33149,,Key Biscayne,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,399881,399881,399881,2026,true
2442320020220,33149,480 W MATHESON DR,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,2625424,2676835,5984543,51411,2026,true
2442320020221,33149,450 W MATHESON DR,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,5876415,5876415,7006993,0,2026,true
2442320020222,33149,460 W MATHESON DR,Key Biscayne,0066,VACANT RESIDENTIAL : EXTRA FEA OTHER THAN PARKING,Vacant Residential,0,3921834,3921834,5572467,0,2026,true
2442320020223,33149,470 W MATHESON DR,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,8751875,8803286,9303286,51411,2026,true
2442320020230,33149,4 HARBOR PT,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,11536641,11536641,11536641,0,2026,true
2442320020240,33149,3 HARBOR PT,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,6298106,6349517,22571897,51411,2026,true
2442320020250,33149,5 HARBOR PT,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,21980371,21980371,21980371,0,2026,true
2442320020255,33149,,Key Biscayne,0081,VACANT RESIDENTIAL : VACANT LAND,Vacant Residential,0,1000,1000,1000,0,2026,true
2442320020260,33149,14 HARBOR PT,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,8559612,8559612,9731139,0,2026,true
2442320020261,33149,11 HARBOR PT,Key Biscayne,0066,VACANT RESIDENTIAL : EXTRA FEA OTHER THAN PARKING,Vacant Residential,1,10903660,10955071,22150110,51411,2026,true
2442320020263,33149,10 HARBOR PT,Key Biscayne,0066,VACANT RESIDENTIAL : EXTRA FEA OTHER THAN PARKING,Vacant Residential,0,5829950,5829950,8274936,0,2026,true
2442320020264,33149,18 HARBOR PT,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,3110753,3162164,8329147,51411,2026,true
2442320020270,33149,6 HARBOR PT,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,3476544,3527955,11247143,51411,2026,true
2442320020281,33149,7 HARBOR PT,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,15533617,15585028,19144582,51411,2026,true
2442320020282,33149,9 HARBOR PT,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,21923350,21923350,22186797,0,2026,true
2442320030010,33149,300 CARIBBEAN RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,4432136,4483547,4483547,51411,2026,true
2442320030020,33149,324 CARIBBEAN RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,3015045,3015045,3390130,0,2026,true
2442320030030,33149,330 CARIBBEAN RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,4711126,4711126,4711126,0,2026,true
2442320030040,33149,340 CARIBBEAN RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,3088675,3140086,4579995,51411,2026,true
2442320030050,33149,360 CARIBBEAN RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,4239481,4290892,5349051,51411,2026,true
2442320030060,33149,378 CARIBBEAN RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,2589343,2589343,3210424,0,2026,true
2442320030070,33149,390 CARIBBEAN RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1426434,1477845,3160434,51411,2026,true
2442320030080,33149,301 CARIBBEAN RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,5048474,5048474,5048474,0,2026,true
2442320030090,33149,300 GULF RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,2845544,2896955,4729545,51411,2026,true
2442320030100,33149,318 GULF RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,3414487,3465898,4858001,51411,2026,true
2442320030110,33149,323 CARIBBEAN RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,3333484,3333484,4068920,0,2026,true
2442320030120,33149,335 CARIBBEAN RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,3549332,3600743,5202689,51411,2026,true
2442320030130,33149,330 GULF RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,2375418,2426829,3902340,51411,2026,true
2442320030140,33149,346 GULF RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1203565,1254976,3605169,51411,2026,true
2442320030150,33149,345 CARIBBEAN RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,3556850,3608261,5157177,51411,2026,true
2442320030160,33149,365 CARIBBEAN RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,3398675,3398675,3398675,0,2026,true
2442320030170,33149,364 GULF RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,5224602,5224602,5224602,0,2026,true
2442320030180,33149,378 GULF RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,2798684,2798684,3443529,0,2026,true
2442320030190,33149,379 CARIBBEAN RD,Key Biscayne,0081,VACANT RESIDENTIAL : VACANT LAND,Vacant Residential,0,3120000,3120000,3120000,0,2026,true
2442320030200,33149,395 CARIBBEAN RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,507985,559396,3401655,51411,2026,true
2442320030210,33149,390 GULF RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,3731155,3731155,3731155,0,2026,true
2442320030220,33149,301 GULF RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,3383848,3435259,4991174,51411,2026,true
2442320030230,33149,300 PACIFIC RD,Key Biscayne,0081,VACANT RESIDENTIAL : VACANT LAND,Vacant Residential,0,3210220,3210220,3210220,0,2026,true
2442320030240,33149,320 PACIFIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,3725331,3725331,3725331,0,2026,true
2442320030250,33149,325 GULF RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,3732639,3732639,3732639,0,2026,true
2442320030260,33149,337 GULF RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,5900881,5900881,6405120,0,2026,true
2442320030270,33149,330 PACIFIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,3613375,3613375,3613375,0,2026,true
2442320030280,33149,340 PACIFIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,2982800,3034211,5027410,51411,2026,true
2442320030290,33149,345 GULF RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,3994870,4046281,4046281,51411,2026,true
2442320030300,33149,365 GULF RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,4355697,4355697,4568975,0,2026,true
2442320030310,33149,360 PACIFIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,10020570,10020570,10020570,0,2026,true
2442320030330,33149,379 GULF RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,3268373,3268373,3370361,0,2026,true
2442320030340,33149,395 GULF RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,2387059,2438470,4317367,51411,2026,true
2442320030350,33149,390 PACIFIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,6712565,6712565,6712565,0,2026,true
2442320030360,33149,301 PACIFIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,3074503,3074503,3584873,0,2026,true
2442320030370,33149,300 ATLANTIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,3840394,3891805,5105904,51411,2026,true
2442320030380,33149,320 ATLANTIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,4794089,4794089,4794089,0,2026,true
2442320030390,33149,325 PACIFIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,3671230,3671230,3843658,0,2026,true
2442320030400,33149,335 PACIFIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,6645264,6696675,6830164,51411,2026,true
2442320030410,33149,330 ATLANTIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,594025,650436,3553050,56411,2026,true
2442320030420,33149,340 ATLANTIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,3211206,3211206,3571817,0,2026,true
2442320030430,33149,345 PACIFIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1623194,1674605,3584120,51411,2026,true
2442320030440,33149,365 PACIFIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1361986,1413397,3389708,51411,2026,true
2442320030450,33149,350 ATLANTIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,3724941,3724941,3724941,0,2026,true
2442320030460,33149,360 ATLANTIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,513927,565338,3438006,51411,2026,true
2442320030470,33149,379 PACIFIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,5104525,5155936,5280111,51411,2026,true
2442320030480,33149,385 PACIFIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1574700,1626111,3697967,51411,2026,true
2442320030490,33149,390 ATLANTIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,3497654,3549065,4111718,51411,2026,true
2442320030500,33149,301 ATLANTIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,2845585,2845585,3266525,0,2026,true
2442320030510,33149,325 ATLANTIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,2007556,2058967,3469603,51411,2026,true
2442320030520,33149,335 ATLANTIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,2529722,2581133,3609100,51411,2026,true
2442320030530,33149,345 ATLANTIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,3677368,3728779,4621895,51411,2026,true
2442320030540,33149,355 ATLANTIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1981129,2032540,3542495,51411,2026,true
2442320030550,33149,365 ATLANTIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,3081140,3132551,3724018,51411,2026,true
2442320030560,33149,385 ATLANTIC RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,4053964,4053964,4139849,0,2026,true
2442320040010,33149,525 ALLENDALE RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,918902,970313,2955237,51411,2026,true
2442320040020,33149,515 ALLENDALE RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1306919,1358330,2351006,51411,2026,true
2442320040030,33149,485 ALLENDALE RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,992581,1043992,2327972,51411,2026,true
2442320040040,33149,475 ALLENDALE RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1565899,1617310,2534332,51411,2026,true
2442320040050,33149,465 ALLENDALE RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1150345,1201756,2975812,51411,2026,true
2442320040060,33149,455 ALLENDALE RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,909549,960960,2735778,51411,2026,true
2442320040070,33149,445 ALLENDALE RD,Key Biscayne,0081,VACANT RESIDENTIAL : VACANT LAND,Vacant Residential,0,1981720,1981720,1981720,0,2026,true
2442320040080,33149,435 ALLENDALE RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,2532068,2583479,3220667,51411,2026,true
2442320040090,33149,425 ALLENDALE RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,870073,921484,2712363,51411,2026,true
2442320040100,33149,415 ALLENDALE RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,2119695,2119695,2119695,0,2026,true
2442320040110,33149,401 ALLENDALE RD,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,3285440,3285440,3285440,0,2026,true
2442320040120,33149,400 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,2006281,2057692,3605947,51411,2026,true
2442320040130,33149,412 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1342717,1394128,2311552,51411,2026,true
2442320040140,33149,422 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,2186206,2186206,2186206,0,2026,true
2442320040150,33149,432 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,2105320,2156731,3115342,51411,2026,true
2442320040160,33149,442 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,2147087,2147087,2147087,0,2026,true
2442320040170,33149,452 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,2113158,2113158,2338590,0,2026,true
2442320040180,33149,462 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1505632,1557043,2889541,51411,2026,true
2442320040190,33149,472 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,2677038,2728449,2789368,51411,2026,true
2442320040200,33149,482 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,1791339,1791339,2348248,0,2026,true
2442320040210,33149,512 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,2054332,2054332,2280741,0,2026,true
2442320040220,33149,524 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1346562,1397973,2481810,51411,2026,true
2442320040230,33149,525 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1734690,1786101,3102385,51411,2026,true
2442320040240,33149,515 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1944555,1995966,2333825,51411,2026,true
2442320040250,33149,485 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,2150706,2150706,2181366,0,2026,true
2442320040260,33149,475 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1942470,1993881,2188784,51411,2026,true
2442320040270,33149,465 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1520496,1571907,2825177,51411,2026,true
2442320040280,33149,455 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1427396,1478807,2295535,51411,2026,true
2442320040290,33149,445 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,3840798,3840798,3840798,0,2026,true
2442320040300,33149,435 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,601773,653184,2217070,51411,2026,true
2442320040310,33149,425 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,0,2037857,2037857,2276242,0,2026,true
2442320040320,33149,415 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,368030,424441,2148666,56411,2026,true
2442320040330,33149,401 WARREN LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,1429740,1486151,2549955,56411,2026,true
2442320040340,33149,400 HAMPTON LN,Key Biscayne,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,Single Family,1,2911250,2962661,4132886,51411,2026,true
